,Release Date,Season,Episode,Episode Title,Name,Sentence,emotion_label,emotion_score
5347,2012-05-06,Season 2,Episode 6,The Old Gods and the New,man,Please!,anger,0.37733882665634155
5348,2012-05-06,Season 2,Episode 6,The Old Gods and the New,sandor clegane,"You're all right now, little bird. You're all right.",neutral,0.6880675554275513
5349,2012-05-06,Season 2,Episode 6,The Old Gods and the New,man,We'll get you.,neutral,0.9222554564476013
5350,2012-05-06,Season 2,Episode 6,The Old Gods and the New,man,This way.,neutral,0.8603927493095398
5351,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tyrion lannister,"Are you hurt, my lady?",disgust,0.2962869107723236
5352,2012-05-06,Season 2,Episode 6,The Old Gods and the New,sandor clegane,The little birdo s bleeding. Someone take her back to her cage. See to that cut.,sadness,0.3534584641456604
5353,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tyrion lannister,"Well done, Clegane.",neutral,0.5025564432144165
5354,2012-05-06,Season 2,Episode 6,The Old Gods and the New,sandor clegane,I didn't do it for you.,anger,0.5361965894699097
5355,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,He shouldn't make me wait.,neutral,0.7571038603782654
5356,2012-05-06,Season 2,Episode 6,The Old Gods and the New,xaro,"The Spice King is the second wealthiest man in Qarth. He makes everyone wait. Of course, you could have avoided this embarrassment if you married the wealthiest man in Qarth.",neutral,0.8709551692008972
5357,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,I already have a husband.,joy,0.9818680286407471
5358,2012-05-06,Season 2,Episode 6,The Old Gods and the New,xaro,"Khal Drogo is gone, Khaleesi. You are far too young to be a widow forever and far too beautiful.",sadness,0.9191496968269348
5359,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,And you are far too smart to think that I will succumb to flattery.,neutral,0.8088552355766296
5360,2012-05-06,Season 2,Episode 6,The Old Gods and the New,xaro,"I have traveled very far in my life and met many women, but none that are immune to flattery.",neutral,0.454039067029953
5361,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,The Mother of Dragons!,surprise,0.568281888961792
5362,2012-05-06,Season 2,Episode 6,The Old Gods and the New,xaro,"Ah, here he comes.",neutral,0.6148951649665833
5363,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,"Forgive me. I had terrible dreams last night. Terrible dreams. I could not sleep until the sun was shining and the birds were singing. Look what a beauty you are now the Red Waste has been washed off you. I am sorry about all that unpleasantness. The silver hair of a true Targaryen. Xaro Xhoan Daxos, she is far too lovely for a glorified dockworker like yourself.",disgust,0.4597647190093994
5364,2012-05-06,Season 2,Episode 6,The Old Gods and the New,xaro,"Very true, and yet they say that your grandfather, who sold pepper off the back of a wagon, married a lady far lovelier and higher born than himself.",disgust,0.43491217494010925
5365,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,"Every lady alive was lovelier and higher born than my grandfather. Did my servants not offer you something to eat, to drink? I'll have them flogged in the square.",disgust,0.8098878860473633
5366,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,"Thank you, my lord. You are a gracious host, but there is no servant alive that can bring me what I want.",neutral,0.7908281683921814
5367,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,"Oh, she has a talent for drama, this one. So, my little princess, what is it you want?",neutral,0.7134426832199097
5368,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,My birthright. The Seven Kingdoms of Westeros.,joy,0.5891823768615723
5369,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,I fear I'm no better than a servant in this regard. I cannot give you what I do not have.,fear,0.9812451601028442
5370,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,I'm not asking you for the kingdoms. I'm asking you for ships.,neutral,0.9546961784362793
5371,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,"I need to cross the Narrow Sea. I need my ships as well. I use them, you see, to bring spices from one port to another.",neutral,0.8788003325462341
5372,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,Whatever you grant me now will be repaid three times over when I retake the Iron Throne.,neutral,0.778624415397644
5373,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,Retake? Did you once sit on the Iron Throne?,neutral,0.7486774325370789
5374,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,"My father sat there, before he was murdered.",sadness,0.40333637595176697
5375,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,"But if you did not sit on it yourself, would it not be correct to say ""take the Iron Throne""?",neutral,0.6163665056228638
5376,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,I didn't come here to argue grammar.,neutral,0.8967199325561523
5377,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,"Of course not. You came to take my ships. So let me explain my position, little princess. Unlike you, I do not have exalted ancestors. I make my living by trade. And I judge every trade on its merits. You ask for ships. You say I shall be repaid triple. I do not doubt your honesty or your intentions. But before you repay your debts, you must seize the Seven Kingdoms. Do you have an army?",neutral,0.7523098587989807
5378,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,Not yet.,neutral,0.9466041326522827
5379,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,You do not have an army. Do you have powerful allies in Westeros?,neutral,0.7878016233444214
5380,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,There are many there that support my claim.,neutral,0.9177905917167664
5381,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,When were you there last?,neutral,0.6519521474838257
5382,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,I left when I was a baby.,sadness,0.6410837173461914
5383,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,"So, in truth, you have no allies.",neutral,0.9331191778182983
5384,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,The people will rise to fight for their rightful queen when I return.,neutral,0.6649752855300903
5385,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,"Ah. Forgive me, little princess, but I cannot make an investment based on wishes and dreams. Now if you'll pardon me.",anger,0.5712478756904602
5386,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,"Do you know lllyrio Mopatis, Magister of Pentos? Yes, we've met.",neutral,0.7926366329193115
5387,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,A shrewd man.,disgust,0.7176673412322998
5388,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,"For my wedding, he gave me three petrified dragon eggs. He believed The world believed that the ages had turned them to stone. How many centuries has it been since dragons roamed the skies? But I dreamt that if I carried those eggs into a great fire, they would hatch. When I stepped into the fire, my own people thought I was mad. But when the fire burned out, I was unhurt, the Mother of Dragons.",fear,0.41617152094841003
5389,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,Do you understand? I'm no ordinary woman. My dreams come true.,joy,0.3954850137233734
5390,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,"I admire your passion. But in business, I trust in logic, not passion. I'm sorry, little princess.",sadness,0.6426212787628174
5391,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,"I am not your little princess. I am Daenerys Stormborn of the blood of Old Valyria, and I will take what is mine. With fire and blood, I will take it.",anger,0.9605636596679688
5392,2012-05-06,Season 2,Episode 6,The Old Gods and the New,spice king,"Yes, my lady, but not with my ships.",neutral,0.46494126319885254
5393,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Who taught you to read?,neutral,0.7756336331367493
5394,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,"My father, my lord.",disgust,0.7997214198112488
5395,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"Hmm. I taught my son Jaime to read. The maester came to me one day, told me he wasn't learning. He couldn't make sense of the letters. He reversed them in his head. The maester said he'd heard tell of this affliction and that we simply must accept it. Ha! After that, I sat Jaime down for four hours every day until he learned. He hated me for it, for a time. For a long time. But he learned. Hmm. Where is your father? Is he alive? Who was he?",disgust,0.6507768034934998
5396,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,A stonemason.,neutral,0.7092428803443909
5397,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,A stonemason who could read? Hmm.,surprise,0.4501473903656006
5398,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,He taught himself.,disgust,0.5054449439048767
5399,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Quite a man. What killed him?,disgust,0.4680216610431671
5400,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,Loyalty.,disgust,0.522580623626709
5401,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"You're a sharp little thing, aren't you?",surprise,0.5173960328102112
5402,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,"Did... Forgive me, my lord. I shouldn't ask questions.",disgust,0.45316240191459656
5403,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,No. But you've already begun.,neutral,0.9090928435325623
5404,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,"Did you know your father, my lord?",surprise,0.7200867533683777
5405,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,I did. I grew up with him. I watched him grow old.,neutral,0.7694849371910095
5406,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"He loved us. He was a good man, but a weak man. A weak man who nearly destroyed our house and name. I'm cold.",disgust,0.4808845520019531
5407,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,"I'll fetch more wood for the fire, my lord.",neutral,0.6502264738082886
5408,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Mmm.,neutral,0.9105802774429321
5409,2012-05-06,Season 2,Episode 6,The Old Gods and the New,amory,"Where are you going, girl?",surprise,0.433047354221344
5410,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,"The armory, my lord.",disgust,0.7892000079154968
5411,2012-05-06,Season 2,Episode 6,The Old Gods and the New,amory,Why?,surprise,0.9258126616477966
5412,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,Lord Tywin sent me.,neutral,0.6804941892623901
5413,2012-05-06,Season 2,Episode 6,The Old Gods and the New,amory,What might this be?,surprise,0.5877991914749146
5414,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,Lord Tywin gave it to me.,neutral,0.7548831701278687
5415,2012-05-06,Season 2,Episode 6,The Old Gods and the New,amory,What for?,surprise,0.6685640215873718
5416,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,To take to the armory.,fear,0.6388581991195679
5417,2012-05-06,Season 2,Episode 6,The Old Gods and the New,amory,Why would he do that? Let's go and ask him.,anger,0.7299568057060242
5418,2012-05-06,Season 2,Episode 6,The Old Gods and the New,amory,Move! Get out of the way!,anger,0.9148765206336975
5419,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,Amory Lorch.,disgust,0.2835446894168854
5420,2012-05-06,Season 2,Episode 6,The Old Gods and the New,jaqen hghar,A girl has named a second name. A man will do what must be done.,neutral,0.3529673218727112
5421,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,Now!,surprise,0.3210774064064026
5422,2012-05-06,Season 2,Episode 6,The Old Gods and the New,jaqen hghar,A girl cannot tell a man when exactly he must do a thing. A man cannot make a thing happen before its time.,neutral,0.8112934827804565
5423,2012-05-06,Season 2,Episode 6,The Old Gods and the New,arya stark,But he's going to tell Tywin. He's getting away. It has to be now.,neutral,0.6293211579322815
5424,2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Guard!,anger,0.46306076645851135
5425,2012-05-06,Season 2,Episode 6,The Old Gods and the New,soldier,Your Grace.,neutral,0.8369209170341492
5426,2012-05-06,Season 2,Episode 6,The Old Gods and the New,soldier,"My honor, Your Grace.",neutral,0.5595300793647766
5427,2012-05-06,Season 2,Episode 6,The Old Gods and the New,quent,Your Grace.,neutral,0.8369209170341492
5428,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,Quent.,neutral,0.7541982531547546
5429,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,Lady Talisa.,neutral,0.5812056660652161
5430,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,Your Grace. I'm not sure I'm a lady. Westerosi customs are still a bit foreign to me.,neutral,0.7791081666946411
5431,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,"It's hard to keep all the rules straight. But if I remember my lessons, a woman of noble birth is always called a lady. Unless she's a queen or a princess. I could find someone who knows.",neutral,0.9524794220924377
5432,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,Why are you so sure I'm of noble birth?,surprise,0.8458996415138245
5433,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,Because it's obvious.,neutral,0.7028795480728149
5434,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,"What if I told you my father sold lace on the Long Bridge, and my mother, my brother, and I lived with him above our shop?",anger,0.331438273191452
5435,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,I'd call you a liar.,anger,0.5661537647247314
5436,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,Not very noble to accuse a lady of dishonesty.,disgust,0.9163436889648438
5437,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,I always thought I was a brilliant liar.,neutral,0.41854751110076904
5438,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,"Better at amputations, I'm afraid.",fear,0.9825854301452637
5439,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,Quite a pretty spot.,joy,0.5109970569610596
5440,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,Will we be here long?,neutral,0.8291406035423279
5441,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,I couldn't really discuss troop movements with you.,surprise,0.8004859089851379
5442,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,I'm not a spy.,fear,0.503562331199646
5443,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,"Of course, a spy would deny being a spy.",neutral,0.4116060137748718
5444,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,"You're right. You've found me out. I'm writing a letter to the Lannisters. ""The Young Wolf is on the move. """,neutral,0.5631129741668701
5445,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,"Perhaps you'd join me... If you've got time, of course, for, well-",neutral,0.8673836588859558
5446,2012-05-06,Season 2,Episode 6,The Old Gods and the New,catelyn stark,Robb.,neutral,0.8784682154655457
5447,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,"Mother. Mother, this is Lady Talisa. She's been helping with the wounded. She's been very... helpful.",neutral,0.7798908948898315
5448,2012-05-06,Season 2,Episode 6,The Old Gods and the New,catelyn stark,Lady Talisa.,neutral,0.5812056660652161
5449,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,Lady Stark.,neutral,0.27609410881996155
5450,2012-05-06,Season 2,Episode 6,The Old Gods and the New,catelyn stark,Lady Talisa...?,surprise,0.7251269817352295
5451,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,Maegyr.,neutral,0.44256019592285156
5452,2012-05-06,Season 2,Episode 6,The Old Gods and the New,catelyn stark,"Maegyr? Forgive me, I do not know this name.",neutral,0.33461788296699524
5453,2012-05-06,Season 2,Episode 6,The Old Gods and the New,talisa,"An uncommon name here. An old name in Volantis. Excuse me, my lady. Your Grace.",neutral,0.7171996235847473
5454,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,I've missed you.,sadness,0.9575909972190857
5455,2012-05-06,Season 2,Episode 6,The Old Gods and the New,catelyn stark,"Yes, you look positively forlorn.",neutral,0.7148380875587463
5456,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,"You surprised me, that's all. I didn't think I'd see you today.",surprise,0.9792206287384033
5457,2012-05-06,Season 2,Episode 6,The Old Gods and the New,catelyn stark,I wish that you were free to follow your heart.,neutral,0.4571148157119751
5458,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,I know.,neutral,0.3984006345272064
5459,2012-05-06,Season 2,Episode 6,The Old Gods and the New,catelyn stark,You have inherited your father's responsibilities. I'm afraid they come at a cost. You are promised to another.,fear,0.9307554960250854
5460,2012-05-06,Season 2,Episode 6,The Old Gods and the New,catelyn stark,A debt that must be paid.,sadness,0.4115575850009918
5461,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,I haven't forgotten.,neutral,0.7480323910713196
5462,2012-05-06,Season 2,Episode 6,The Old Gods and the New,roose bolton,Your Grace. My lady. News from Winterfell.,surprise,0.48759976029396057
5463,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Your brothers desert you? I can tell you which way to go.,anger,0.4261760711669922
5464,2012-05-06,Season 2,Episode 6,The Old Gods and the New,jon snow,We'll stop here. Too dark to go any farther today.,neutral,0.4887758195400238
5465,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Here? There's no shelter here.,disgust,0.28610602021217346
5466,2012-05-06,Season 2,Episode 6,The Old Gods and the New,jon snow,There's no shelter anywhere.,sadness,0.4486151337623596
5467,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,There is if you know where to look. The cold could kill us both. If you light a fire-,fear,0.47207391262054443
5468,2012-05-06,Season 2,Episode 6,The Old Gods and the New,jon snow,No fire.,neutral,0.508173406124115
5469,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,But a fire is-,fear,0.5588502883911133
5470,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Have it your way.,neutral,0.8678061962127686
5471,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,We'll stay warmer if we stay close.,neutral,0.9495062828063965
5472,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Bet you freeze to death before I do. Bet your life.,anger,0.6791428923606873
5473,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Think they're out looking for you?,surprise,0.5350202322006226
5474,2012-05-06,Season 2,Episode 6,The Old Gods and the New,jon snow,Yes.,neutral,0.8983096480369568
5475,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Think they'll find you?,neutral,0.4432368278503418
5476,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,"You're brave. Stupid, but brave.",anger,0.5781895518302917
5477,2012-05-06,Season 2,Episode 6,The Old Gods and the New,jon snow,We start again at first light. Get some sleep.,neutral,0.3977479040622711
5478,2012-05-06,Season 2,Episode 6,The Old Gods and the New,jon snow,Stop moving.,anger,0.7257676124572754
5479,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,I'm just trying to get comfortable.,neutral,0.796275794506073
5480,2012-05-06,Season 2,Episode 6,The Old Gods and the New,jon snow,Stop it!,anger,0.9726117253303528
5481,2012-05-06,Season 2,Episode 6,The Old Gods and the New,jon snow,You're still moving.,neutral,0.47966647148132324
5482,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Was I? I didn't notice that time.,surprise,0.9356261491775513
5483,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,This cannot be true.,disgust,0.3864244222640991
5484,2012-05-06,Season 2,Episode 6,The Old Gods and the New,roose,"We've had ravens from White Harbor, Barrowton and the Dreadfort. I'm afraid it is true.",fear,0.9539952278137207
5485,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,Why? Why would Theon-,surprise,0.8888646960258484
5486,2012-05-06,Season 2,Episode 6,The Old Gods and the New,roose,Because the Greyjoys are treasonous whores.,anger,0.6086536049842834
5487,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,My brothers?,surprise,0.9139933586120605
5488,2012-05-06,Season 2,Episode 6,The Old Gods and the New,roose,We've heard nothing of them. But Rodrik Cassel is dead.,sadness,0.631629467010498
5489,2012-05-06,Season 2,Episode 6,The Old Gods and the New,catelyn stark,"I told you, never trust a Greyjoy!",fear,0.6548392176628113
5490,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,I must go north at once.,neutral,0.7056809663772583
5491,2012-05-06,Season 2,Episode 6,The Old Gods and the New,roose,"There's still a war to win, Your Grace.",neutral,0.9700080156326294
5492,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,How can I call myself king if I can't hold my own castle? How can I ask men to follow me if I can't-,fear,0.7421587109565735
5493,2012-05-06,Season 2,Episode 6,The Old Gods and the New,roose,You are a king. And that means you don't have to do everything yourself.,neutral,0.9581101536750793
5494,2012-05-06,Season 2,Episode 6,The Old Gods and the New,catelyn stark,Let me go and talk to Theon.,neutral,0.6453003883361816
5495,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,There will be no talk. He will die for this.,neutral,0.5570436120033264
5496,2012-05-06,Season 2,Episode 6,The Old Gods and the New,roose,"Theon holds the castle with a skeleton crew. Let me send word to my bastard at the Dreadfort. He can raise a few hundred men and retake Winterfell before the new moon. We have the Lannisters on the run. If you march all the way back north now, you'll lose what you gained. My boy would be honored to bring you Prince Theon's head.",anger,0.459420770406723
5497,2012-05-06,Season 2,Episode 6,The Old Gods and the New,robb stark,"Tell your son Bran and Rickon's safety is paramount. And Theon, I want him brought to me alive. I want to look him in the eye and ask him why. And then I'll take his head myself.",anger,0.6763141751289368
5498,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Why on earth would I trust the word of a lying little savage like you?,anger,0.5962867736816406
5499,2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,I'm no liar.,neutral,0.3512894809246063
5500,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,All wildlings are liars and savages with no loyalty to anything or anyone.,disgust,0.587459146976471
5501,2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,"I done what I had to do to stay alive. I hate the Starks as well as you do. Let me serve you, my lord.",anger,0.6118878722190857
5502,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,How? And don't tell me to put a spear in your hand.,anger,0.49268820881843567
5503,2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,"There are other ways to serve, my lord.",neutral,0.9009687304496765
5504,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"I'm a prince now, and you'd do well-",neutral,0.7074564099311829
5505,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ahsa,"There are other ways to serve, my prince.",neutral,0.941960871219635
5506,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Like what?,neutral,0.4552735984325409
5507,2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,"We know things, the free people.",neutral,0.8494477868080139
5508,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,You know things? Like what? How to eat dirt?,disgust,0.6380488276481628
5509,2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,Other things.,neutral,0.5400437712669373
5510,2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,Savage things.,disgust,0.9343968033790588
5511,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Wait outside.,neutral,0.7370188236236572
5512,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,I always wondered what you had under there.,surprise,0.9731528759002686
5513,2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,It comes at a price.,neutral,0.7802278399467468
5514,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,I'm not killing you. That's your price.,anger,0.5160674452781677
5515,2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,I already had that.,neutral,0.9506823420524597
5516,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"What do you want then, other than your miserable life?",sadness,0.877682626247406
5517,2012-05-06,Season 2,Episode 6,The Old Gods and the New,ahsa,What all free people want. My freedom.,neutral,0.5462065935134888
5518,2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"Well, you shall have it, then. But only if you serve me well.",neutral,0.7925732731819153
5519,2012-05-06,Season 2,Episode 6,The Old Gods and the New,sansa stark,Ow!,disgust,0.42106515169143677
5520,2012-05-06,Season 2,Episode 6,The Old Gods and the New,shae,Shh. It's not deep.,disgust,0.7227752804756165
5521,2012-05-06,Season 2,Episode 6,The Old Gods and the New,sansa stark,I thought they were going to kill me.,fear,0.9410473704338074
5522,2012-05-06,Season 2,Episode 6,The Old Gods and the New,shae,"They thought so, too.",neutral,0.9504680037498474
5523,2012-05-06,Season 2,Episode 6,The Old Gods and the New,sansa stark,"He hated me, the man who hit me. I saw it in his eyes. Hated me. He never met me before, but he wanted to hurt me.",disgust,0.6248682141304016
5524,2012-05-06,Season 2,Episode 6,The Old Gods and the New,shae,Of course he did.,neutral,0.7881242036819458
5525,2012-05-06,Season 2,Episode 6,The Old Gods and the New,sansa stark,Why? Why would a stranger-,surprise,0.87069171667099
5526,2012-05-06,Season 2,Episode 6,The Old Gods and the New,shae,You are everything he will never have. Your horse eats better than his children. It doesn't matter now. He's dead.,neutral,0.3926470875740051
5527,2012-05-06,Season 2,Episode 6,The Old Gods and the New,sansa stark,I would have given them bread if I had it. I hate the king more than any of them.,anger,0.61109858751297
5528,2012-05-06,Season 2,Episode 6,The Old Gods and the New,shae,Don't say these things. If the wrong people hear you-,anger,0.7287938594818115
5529,2012-05-06,Season 2,Episode 6,The Old Gods and the New,sansa stark,But you're not the wrong people.,anger,0.48440203070640564
5530,2012-05-06,Season 2,Episode 6,The Old Gods and the New,shae,Don't trust anybody. Life is safer that way.,neutral,0.46385306119918823
5531,2012-05-06,Season 2,Episode 6,The Old Gods and the New,guard,And where are you going?,surprise,0.7132350206375122
5532,2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,I have something for you from Prince Theon.,neutral,0.7562331557273865
5533,2012-05-06,Season 2,Episode 6,The Old Gods and the New,guard,What?,surprise,0.9222372174263
5534,2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,Me. He says I'm to make the rounds. And keep you warm.,neutral,0.8578645586967468
5535,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,The Spice King refuses me because I'm a bad investment. The Silk King won't support me because of his business with the Lannisters. Why offend his best customer? And the Copper King offers me a single ship on the condition that I lie with him for a night. Does he think I will whore myself for a boat?,anger,0.6299996972084045
5536,2012-05-06,Season 2,Episode 6,The Old Gods and the New,xaro,"When I came to this city, I had nothing. Truly nothing. I slept by the docks. And when I could find work loading the ships, I would eat. If not, I dreamed of food. Today, I am the richest man in Qarth. Do you think the path from poverty to wealth is always pure and honorable? I have done many things, Khaleesi, that a righteous man would condemn. And here I am, with no regrets.",disgust,0.5326805114746094
5537,2012-05-06,Season 2,Episode 6,The Old Gods and the New,xaro,"Bar the gates. Ring the bells. Slowly, Khaleesi.",neutral,0.4986010193824768
5538,2012-05-06,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,Where are they? Where are my dragons?,neutral,0.6106122136116028
5539,2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,"A cripple? You let a cripple escape? The boy can't walk, but somehow he slipped past you?",surprise,0.5261809825897217
5540,2012-05-13,Season 2,Episode 7,A Man Without Honor,black lorren,The giant must have took him.,neutral,0.9157772064208984
5541,2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,"The giant? Hodor? Oh, that's all right, then. You let a halfwit escape with a cripple. And Rickon, too? The little one?",disgust,0.37486499547958374
5542,2012-05-13,Season 2,Episode 7,A Man Without Honor,black lorren,"Gone, along with the wildling woman. The one you were fucking.",anger,0.5006865859031677
5543,2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,Right. Get the horses and the hounds.,neutral,0.8194944262504578
